id,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,vid_id
178,Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,-6,43,65,277,14,5,60,ZFlpVBFSEis
179,Next To Me,Emeli SandÃ©,dance pop,2013,95,80,67,-5,11,35,197,9,4,60,CtWUU53rt2Y
180,Made In The USA,Demi Lovato,dance pop,2013,87,86,58,-4,32,59,196,0,4,60,jQl46pqUrU0
181,Clown,Emeli SandÃ©,dance pop,2013,130,23,45,-8,11,23,221,92,4,60,0OHX_PA25Ok
182,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,-6,15,34,271,9,31,59,dwaCaaqfIK4
183,TKO,Justin Timberlake,dance pop,2013,138,68,61,-7,43,49,424,1,24,58,SJW3JRm6BTs
184,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57,sa7Oz_25DNk
185,Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,-5,33,65,244,1,17,57,JmAW1h7j9CM
186,We Own The Night,The Wanted,boy band,2013,104,94,55,-4,23,56,206,1,13,56,-RHJrgqvRL0
187,Atlas - From ÂThe Hunger Games: Catching FireÂ Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,11,11,236,63,3,55,Lh3TokLzzmw
188,What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,4,28,203,0,4,54,UqyjGDQvT-Y
189,Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,-5,64,33,353,4,16,54,DEzREJbln-o
190,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52,_bHhpufKRjs
191,Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,-4,14,38,286,43,3,52,VbdHf_zxsRw
192,Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,-5,35,66,221,1,10,52,UAk2LBDfA6Q
193,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52,U5YnNpWyWg8
194,#Beautiful,Mariah Carey,dance pop,2013,107,76,68,-5,31,45,200,29,4,51,qzQ3wkJOiU0
195,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50,U4AcHCarHlk
196,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,13,50,229,4,4,46,WONie-vuYu8
197,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,-5,11,73,257,2,5,45,8x-gPciJRH8
198,People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,-5,36,61,259,4,4,45,0AV8lxGjdZ0
199,Overdose,Ciara,dance pop,2013,107,70,77,-6,6,79,227,1,3,43,n2tVKoAhPls
200,Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,-6,24,45,186,0,4,42,AbhNCPW7W-8
201,Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,-4,16,58,230,10,7,41,ngefFT5nyFA
202,Foolish Games,Jewel,alaska indie,2013,132,34,51,-11,12,7,250,23,3,36,7RmgiSL1djg
203,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,-4,21,66,207,16,3,35,2HGcab-pTVY
204,Freak,Kelly Rowland,atl hip hop,2013,104,78,65,-5,12,45,274,13,6,28,LJS0iw-OU88
205,All of Me,John Legend,neo mellow,2014,120,26,42,-7,13,33,270,92,3,86,MCyH0k9rbdE
206,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85,bXDSR4GggUU
207,Summer,Calvin Harris,dance pop,2014,128,86,60,-4,14,74,223,2,3,80,McEoTIqoRKk
208,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,96,233,22,18,79,C7dPqrmDWxs
209,Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,4,4,79,-qqCx5ZyscE
210,Shake It Off,Taylor Swift,pop,2014,160,80,65,-5,33,94,219,6,17,78,8xG7mH8i-WE
211,Dark Horse,Katy Perry,dance pop,2014,132,59,65,-6,17,35,216,0,5,78,ONb4aTtG6Ps
212,Hey Brother,Avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78,YxIiPLVR6NA
213,Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78,Y7ix6RITXM0
214,Treasure,Bruno Mars,pop,2014,116,69,87,-5,32,94,179,4,4,77,-XcaZn-lKFo
215,Let Her Go,Passenger,folk-pop,2014,75,54,51,-7,10,24,253,39,6,77,B3EN7Ewwwvs
216,Problem,Ariana Grande,dance pop,2014,103,81,66,-5,16,63,194,2,15,75,Wlytn6qBrww
217,Pompeii,Bastille,metropopolis,2014,127,72,68,-6,27,57,214,8,4,73,ilLEuwH4hws
218,Team,Lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73,4g03b4U_aPk
219,Love Me Again,John Newman,pop,2014,126,89,50,-5,10,21,240,0,4,73,MmmRjwgVVOw
220,Latch,Disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72,YT5Kk9YX7ks
221,Adore You,Miley Cyrus,dance pop,2014,120,66,58,-5,11,20,279,11,3,72,W1tzURKYFNs
222,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,71,0wnuTGGuAVs
223,Burn,Ellie Goulding,dance pop,2014,87,78,56,-5,11,33,231,31,4,71,CGyEd0aKWZE
224,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71,fufvZ_HSWKY
225,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70,H6FfQyvnBuk
226,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,76,-7,31,76,178,3,23,68,vYt87CNb4Og
227,Gorilla,Bruno Mars,pop,2014,140,54,72,-7,10,64,244,45,4,68,SNx80sYoVqE
228,human,Christina Perri,dance pop,2014,144,49,44,-6,11,25,251,13,4,68,2ZFka5_8itM
229,Young Girls,Bruno Mars,pop,2014,126,75,56,-5,21,50,229,46,3,67,0Jyi5ab0gnM
230,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,70,-7,16,72,193,8,25,67,nImvbdnaOKQ
231,Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,8,74,225,17,6,66,m-j-n-XJ-Tg
232,This Is How We Do,Katy Perry,dance pop,2014,96,64,69,-6,15,80,204,2,5,66,nARW7VvOlM8
233,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,-4,27,98,232,0,4,65,c8WOrY-zkxQ
234,#SELFIE,The Chainsmokers,electropop,2014,128,92,79,-3,8,66,184,1,25,65,gnw-Na6ZfWE
235,Partition,BeyoncÃ©,dance pop,2014,186,44,41,-12,31,17,319,3,29,65,LVLrCX6S9v4
236,Birthday,Katy Perry,dance pop,2014,126,67,72,-5,11,84,215,9,7,65,jqYxyd1iSNk
237,G.U.Y.,Lady Gaga,dance pop,2014,110,92,62,-3,12,57,233,1,4,65,rW88-5oYJgA
238,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,-3,9,46,217,11,4,64,i-gyZ35074k
239,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,50,-6,27,25,226,3,4,63,dWHXzzYfCaQ
240,Wings,Birdy,neo mellow,2014,83,71,47,-5,16,22,252,8,3,62,zGpAHzY1WoY
241,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138,81,69,-4,14,82,207,12,7,62,i_XM3u1_jZQ
242,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,35,-4,12,4,191,6,5,61,ZL4VBzz5kH4
243,Say Something,A Great Big World,neo mellow,2014,138,15,45,-9,9,9,229,87,3,61,tV3uXVBydcI
244,A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,60,HRK_-LNDpcQ
245,Come Get It Bae,Pharrell Williams,dance pop,2014,120,80,93,-6,10,90,202,27,8,59,lTOekWUjAhs
246,Chandelier,Sia,australian dance,2014,174,78,29,-3,7,62,216,2,7,56,9bKkogQlWPw
247,XO,BeyoncÃ©,dance pop,2014,170,79,47,-9,31,21,216,17,26,56,3xUfCUFPL-8
248,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125,94,60,-4,10,55,222,0,7,56,xq1t1mHrmks
249,Not About Angels,Birdy,neo mellow,2014,116,14,41,-10,9,23,190,97,4,56,OcHqbUbythc
250,Drunk in Love,BeyoncÃ©,dance pop,2014,140,62,59,-7,18,40,323,1,5,52,BroIjAi27f4
251,Anaconda,Nicki Minaj,dance pop,2014,130,60,96,-6,21,65,260,7,18,50,17O3lL1aUrg
252,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser VerrÃ¤ter,Charli XCX,candy pop,2014,92,81,68,-4,34,64,169,7,6,50,IVWRsTtNbfc
253,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128,82,80,-5,35,61,198,18,4,50,2igups6VdcA
254,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,-9,9,56,160,84,3,49,oM60hSMqIkI
255,Words as Weapons,Birdy,neo mellow,2014,120,35,53,-9,14,19,239,28,3,44,1CSu-xb8uWo
256,You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,63,-7,38,56,224,28,7,38,_1vkmxydrTY
257,Sheezus,Lily Allen,dance pop,2014,130,50,78,-7,11,39,235,15,4,37,9kPQiAJv4fo
258,Cannonball,Lea Michele,hollywood,2014,92,82,56,-3,19,57,215,2,5,37,pdIs29WEIgs
259,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110,54,64,-9,25,53,230,10,11,30,Okn0WpJqgHE
260,I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,74,-6,12,59,207,45,42,28,LqOVGL-YCxs
261,Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,59,-6,38,46,266,27,6,0,Y8ygKnBtKAk
262,Thinking out Loud,Ed Sheeran,pop,2015,79,45,78,-6,18,59,282,47,3,84,Q5z6RHIpi2Y
263,I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,8,49,239,53,4,84,mzQ8eepcJGQ
264,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,84,G5XpJP7f_SE
265,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,52,234,84,44,83,pb4hWWMlFYg
266,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,93,270,1,8,82,W8FUmkw3a4U
267,Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81,SND2LY0s8FE
268,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,81,i9uReNL9ORo
269,Sorry,Justin Bieber,canadian pop,2015,100,76,65,-4,30,41,201,8,5,81,8ELbX5CMomE
270,FourFiveSeconds,Rihanna,barbadian pop,2015,206,27,58,-6,13,35,188,88,5,80,ObuJJ6v7PY8
271,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,26,-7,13,28,253,25,5,79,d-2uDCSS07I
272,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,-6,10,44,252,39,3,79,xe_iCkFsQKE
273,What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,85,-8,8,79,206,59,10,79,NywWB67Z7zQ
274,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,76,207,2,7,78,EByFZdw4wEA
275,Want to Want Me,Jason Derulo,dance pop,2015,114,68,78,-6,11,66,208,1,6,77,X_mxDuaOOjI
276,My House,Flo Rida,dance pop,2015,94,70,69,-5,13,74,192,2,5,77,fWNcWtmHTLU
277,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,-9,8,45,208,1,4,77,kAt6H_JkVxQ
278,Night Changes,One Direction,boy band,2015,120,52,67,-8,12,37,227,86,4,77,bMBdqvJWofQ
279,How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,74,-4,39,34,213,4,7,77,E4CdpOLGMyc
280,Never Forget You,Zara Larsson,dance pop,2015,146,73,58,-6,27,28,213,0,5,77,bdYlVRI7JrY
281,Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,-4,8,24,236,1,3,76,szGomck3sZI
282,Animals,Maroon 5,pop,2015,190,74,28,-6,59,33,231,0,9,76,7BJ3ZXpserc
283,Blame,Calvin Harris,dance pop,2015,128,86,41,-4,34,35,213,3,8,76,HJb0VYVtaNc
284,Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,12,59,225,6,9,75,YBHQbu5rbdQ
285,Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,20,28,215,1,5,75,2Ek3WMM7I-0
286,Don't,Ed Sheeran,pop,2015,95,61,81,-7,64,85,220,1,7,74,3TqGEbROFd4
287,Elastic Heart,Sia,australian dance,2015,130,79,42,-5,15,50,257,1,5,73,noHygl5CGEY
288,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,19,55,228,16,4,73,l3YjZuRR920
289,Hello,Adele,british soul,2015,158,45,48,-6,9,29,295,34,3,73,T1tl66trXTQ
290,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72,SWnvSC5Tu9g
291,43776,BeyoncÃ©,dance pop,2015,136,71,75,-5,13,56,214,1,13,72,WDZJPJV__bQ
292,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,14,62,227,5,4,72,f8VvfHRozG8
293,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,33,53,193,24,15,72,ZVge91TAePI
294,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72,k6H5v9iMQhQ
295,Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8,43,208,13,6,72,gdx7gN1UyX0
296,Sing,Ed Sheeran,pop,2015,120,67,82,-4,6,94,235,30,5,71,scHS8YaYoRA
297,Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,44,45,222,1,8,70,yw04QD1LaB0
298,Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,19,85,202,12,9,70,DGfcVrU5XSY
299,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,29,71,293,9,7,70,louZabOZTJU
300,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,33,31,233,10,8,69,d2GOjxA8HQ4
301,Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6,48,199,1,5,69,Z2K6uxIFO6w
302,Up,Olly Murs,dance pop,2015,115,85,69,-5,10,64,224,2,3,69,a4Uv7mSpZc4
303,Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,10,64,217,56,24,69,elcIuQPlTRg
304,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48,8,213,1,8,69,HX36JR4blns
305,Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,21,44,229,2,3,69,naKhF6G36rM
306,I Want You To Know,Zedd,complextro,2015,130,85,58,-3,14,37,240,1,6,68,67qworViFpY
307,Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,11,95,183,5,5,68,XNR_Az50l3E
308,I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,18,8,200,5,10,68,evUfGoVqsOQ
309,Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,8,33,199,8,10,68,YZRPRf84HO4
310,I Lived,OneRepublic,dance pop,2015,120,85,59,-5,27,34,235,7,4,67,pKt3o7WPYdo
311,Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,5,79,235,9,6,67,WJT5SGS6qkY
312,Easy Love,Sigala,dance pop,2015,124,94,68,-4,12,65,230,18,6,67,WysanSNOjMc
313,The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,10,21,245,8,6,67,KvT4gs8wZxg
314,I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22,60,205,1,4,66,77PzXCKDyVQ
315,BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,5,74,171,1,11,66,eza3V-zioEU
316,Focus,Ariana Grande,dance pop,2015,100,88,67,-6,44,79,211,27,24,66,hK2YUB0OgyU
317,All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,11,96,189,5,5,65,M6w_4k62uHc
318,On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,9,74,213,26,5,65,jwV6qVg5VJg
319,Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,28,85,198,21,4,65,RhNwr4GbOTg
320,Broken Arrows,Avicii,big room,2015,116,67,63,-7,10,29,233,5,5,65,ip4Q1pbrYDg
321,Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,26,40,210,0,5,64,uwd7xU6ZNHY
322,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,10,76,204,79,4,64,3IzxTBMmjXc
323,Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17,52,134,88,3,63,WkKoC2mWtCE
324,Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,19,48,242,14,4,62,yeWbMjr0rRk
325,American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,33,48,320,5,9,61,Ao8cGLIMtvg
326,Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,38,73,199,27,9,61,YswhUHH6Ufc
327,Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,7,60,159,2,3,61,O8FYdln-F8w
328,Alive,Sia,australian dance,2015,100,76,51,-4,11,44,264,25,5,61,-xJrcWtM6jQ
329,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,16,64,219,2,6,60,jPW5A_JyXCY
330,Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,32,86,199,2,7,60,v1a2A_77hUQ
331,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,62,78,189,2,3,58,J1oKxRCghr4
332,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6,28,230,37,8,56,NDEWXnMRq3c
333,Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24,35,210,4,6,56,1ZCxXjDlaf8
334,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,9,4,292,33,5,55,HhEFEbmsgfU
335,Perfect,One Direction,boy band,2015,100,82,65,-5,12,40,230,6,8,55,Ho32Oh6b4jc
336,Ghosttown,Madonna,dance pop,2015,79,55,54,-7,12,9,250,4,4,54,pEcp2HlFBwE
337,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,10,59,193,5,8,54,bgcBYaSb4fw
338,Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,6,27,309,20,5,52,Vv-n0pgQ8zg
339,Living For Love,Madonna,dance pop,2015,123,79,67,-5,25,39,219,4,9,52,zbeTpLVlyZQ
340,Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,-5,10,26,203,1,3,52,9uo9oy-Eqo4
341,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,16,66,211,6,3,52,tMk7NC3Gjo8
342,Steal My Girl,One Direction,boy band,2015,77,76,47,-6,14,52,227,0,4,51,sahsquWlw5I
343,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,6,93,193,1,6,50,QqLs0CBNoSA
344,We Are Here,Alicia Keys,hip pop,2015,93,67,64,-6,8,8,285,43,4,49,ktpUOHUwrUA
345,St Jude,Florence + The Machine,art pop,2015,117,43,26,-11,11,9,225,75,3,47,VqkzJ17qh00
346,Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,-4,33,28,243,2,3,46,vRMwZOzL8ho
347,Time of Our Lives,Pitbull,dance pop,2015,124,80,72,-6,69,72,229,9,6,45,FUak2C_KEeU
348,Sparks,Hilary Duff,dance pop,2015,122,88,85,-5,10,79,186,4,6,44,HEpJJXNuuvM
349,Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,-6,4,83,196,1,18,42,tTcQTWHIsAU
350,Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,-5,8,39,224,2,8,41,2t2WLGW2Kvs
351,Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,20,54,202,8,6,39,I86MzzVTZ9E
352,Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,-7,11,8,273,45,4,36,prmHLN1OgtI
353,Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,6,88,238,1,13,34,gPfp47jEEiI
354,Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,-5,8,65,255,0,5,18,CIJbRqXxm2s
355,L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,-8,26,27,193,2,9,0,fQTqPRojc8Y
